date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,lag1,lag2,lag3,lag4,lag5,return,return1,return2,return3,return4,return5,EWMA_5,Rate of Change,CCI,ForceIndex
2013-11-05,2366.884,2385.688,2383.769,2343.801,62084488.0,3.315,0.14,2386.074,2381.197,2381.197,70370759.2,74495397.14,74495397.14,2380.454,2384.96,2373.718,2407.471,2372.053,0.139259149725,-0.188933986314,0.473603014343,-1.40201065766,1.49313695773,0.257781850366,2382.6771933,0.0049391813758,-94.1706097234,727381861.408
2013-11-06,2371.324,2383.54,2353.568,2352.787,63776664.0,-30.201,-1.27,2375.294,2377.743,2377.743,64690466.4,73155555.5,73155555.5,2383.769,2380.454,2384.96,2373.718,2407.471,-1.2669432315,0.139259149725,-0.188933986314,0.473603014343,-1.40201065766,1.49313695773,2372.58015829,-0.0223898854856,-94.5377195198,-3437753519.59
2013-11-07,2351.871,2356.672,2340.552,2328.253,54821748.0,-13.016,-0.55,2368.661,2373.611,2373.611,59107424.0,71118465.78,71118465.78,2353.568,2383.769,2380.454,2384.96,2373.718,-0.553032672096,-1.2669432315,0.139259149725,-0.188933986314,0.473603014343,-1.40201065766,2361.61898013,-0.0139721736112,-101.814058723,-1818218094.17
2013-11-08,2329.084,2342.672,2307.945,2306.041,53788508.0,-32.607,-1.39,2353.258,2367.044,2367.044,57253973.6,69385470.0,69385470.0,2340.552,2353.568,2383.769,2380.454,2384.96,-1.39313290198,-0.553032672096,-1.2669432315,0.139259149725,-0.188933986314,0.473603014343,2343.41191505,-0.0322919461962,-94.1275773277,-4142521943.62
2013-11-11,2305.94,2325.228,2315.889,2295.003,45739456.0,7.944,0.34,2340.345,2362.038,2362.394,56042172.8,67671800.4,67235832.36,2307.945,2340.552,2353.568,2383.769,2380.454,0.344202309847,-1.39313290198,-0.553032672096,-1.2669432315,0.139259149725,-0.188933986314,2334.13030516,-0.0271229773816,-74.9940016635,-2953167976.64
2013-11-12,2319.362,2342.529,2340.0,2316.603,52687544.0,24.111,1.04,2331.591,2358.833,2360.528,54162784.0,62266771.6,66023475.0,2315.889,2307.945,2340.552,2353.568,2383.769,1.04111207402,0.344202309847,-1.39313290198,-0.553032672096,-1.2669432315,0.139259149725,2336.10206716,-0.0183612589978,-2.55795958393,-2306081113.34
2013-11-13,2325.36,2325.563,2288.116,2287.547,59848832.0,-51.884,-2.22,2318.5,2346.897,2354.958,53377217.6,59033842.0,65548502.46,2340.0,2315.889,2307.945,2340.552,2353.568,-2.21726495726,1.04111207402,0.344202309847,-1.39313290198,-0.553032672096,-1.2669432315,2320.02409912,-0.0278096914982,-84.2389974325,-3917225752.06
2013-11-14,2291.269,2305.696,2304.501,2279.006,57310356.0,16.385,0.72,2311.29,2339.975,2351.354,53874939.2,56491181.6,64960063.43,2288.116,2340.0,2315.889,2307.945,2340.552,0.716091317049,-2.21726495726,1.04111207402,0.344202309847,-1.39313290198,-0.553032672096,2314.8319471,-0.0154027767809,-71.3077584109,-2066095644.16
2013-11-15,2306.549,2377.211,2350.734,2306.549,86391768.0,46.233,2.01,2319.848,2336.553,2351.312,60395591.2,58824782.4,66388843.73,2304.501,2288.116,2340.0,2315.889,2307.945,2.00620438004,0.716091317049,-2.21726495726,1.04111207402,0.344202309847,-1.39313290198,2326.82668996,0.0185398698842,87.4669360741,3696617360.95
2013-11-18,2367.883,2429.566,2428.903,2361.038,110034632.0,78.169,3.33,2342.451,2341.398,2356.162,73254626.4,64648399.6,69116705.5,2350.734,2304.501,2288.116,2340.0,2315.889,3.32530179935,2.00620438004,0.716091317049,-2.21726495726,1.04111207402,0.344202309847,2360.90400727,0.0487994027348,105.459939477,12435453900.8
