date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,lag1,lag2,lag3,lag4,lag5,return,return1,return2,return3,return4,return5,EWMA_5,Rate of Change,CCI,ForceIndex
2013-11-07,16.38,16.81,16.45,16.12,304704.34,-0.14,-0.84,16.962,17.203,17.203,335235.95,360764.51,360764.51,1.6,16.59,17.47,17.07,17.23,17.23,-0.84388185654,-5.03720663995,2.34329232572,-0.928612884504,0.0,-6.25680087051,16.8594997572,-0.0452698781196,-106.580842651,-237669.3852
2013-11-08,16.31,16.56,15.78,15.71,335453.34,-0.67,-4.07,16.672,17.025,17.025,342769.62,357600.61,357600.61,1.76,16.45,16.59,17.47,17.07,17.23,-4.07294832827,-0.84388185654,-5.03720663995,2.34329232572,-0.928612884504,0.0,16.4850563045,-0.0841555426582,-94.9609532996,-486407.343
2013-11-11,15.7,17.16,16.93,15.65,428775.22,1.15,7.29,16.644,17.014,17.014,363446.21,365508.9,365508.9,2.25,15.78,16.45,16.59,17.47,17.07,7.28770595691,-4.07294832827,-0.84388185654,-5.03720663995,2.34329232572,-0.928612884504,16.6373319076,-0.00820152314001,-6.71692488441,-60028.5308
2013-11-12,16.85,17.83,17.66,16.59,492130.12,0.73,4.31,16.682,17.079,17.079,393275.94,378171.02,378171.02,2.58,16.93,15.78,16.45,16.59,17.47,4.31187241583,7.28770595691,-4.07294832827,-0.84388185654,-5.03720663995,2.34329232572,16.9842371392,0.0108757870635,93.9550543083,93504.7228
2013-11-13,17.39,18.09,17.45,17.2,461898.41,-0.21,-1.19,16.854,16.986,17.113,404592.29,380817.44,385782.6,2.43,17.66,16.93,15.78,16.45,16.59,-1.18912797282,4.31187241583,7.28770595691,-4.07294832827,-0.84388185654,-5.03720663995,17.1413073176,0.0518384569017,79.8417184409,397232.6326
2013-11-14,17.52,18.69,18.53,17.36,465319.5,1.08,6.19,17.27,17.116,17.231,436715.32,385975.63,392410.68,2.44,17.45,17.66,16.93,15.78,16.45,6.18911174785,-1.18912797282,4.31187241583,7.28770595691,-4.07294832827,-0.84388185654,17.6078003015,0.126443768997,81.6256175333,967864.56
2013-11-15,18.42,19.2,18.35,18.09,556530.31,-0.18,-0.97,17.784,17.228,17.317,480930.71,411850.16,405035.27,2.92,18.53,17.45,17.66,16.93,15.78,-0.971397733405,6.18911174785,-1.18912797282,4.31187241583,7.28770595691,-4.07294832827,17.8564779643,0.162864385298,78.0967767315,1430282.8967
2013-11-18,18.6,19.54,19.08,18.6,488953.72,0.73,3.98,18.214,17.429,17.443,492966.41,428206.31,411029.44,2.57,18.35,18.53,17.45,17.66,16.93,3.97820163488,-0.971397733405,6.18911174785,-1.18912797282,4.31187241583,7.28770595691,18.265720498,0.126993502658,87.8558846496,1051250.498
2013-11-19,19.11,19.2,18.51,18.35,371768.09,-0.57,-2.99,18.384,17.533,17.514,468894.01,431084.97,408412.02,1.95,19.08,18.35,18.53,17.45,17.66,-2.98742138365,3.97820163488,-0.971397733405,6.18911174785,-1.18912797282,4.31187241583,18.3473333746,0.0481313703284,32.012397504,316002.8765
2013-11-20,18.71,19.13,19.08,18.2,407357.25,0.57,3.08,18.71,17.782,17.612,457985.77,431289.03,408346.1,2.14,18.51,19.08,18.35,18.53,17.45,3.0794165316,-2.98742138365,3.97820163488,-0.971397733405,6.18911174785,-1.18912797282,18.5919279634,0.0934097421203,29.2573409604,663992.3175
2013-11-21,18.85,18.94,18.62,18.38,253791.39,-0.46,-2.41,18.728,17.999,17.671,415680.15,426197.74,399254.64,1.33,19.08,18.51,19.08,18.35,18.53,-2.41090146751,3.0794165316,-2.98742138365,3.97820163488,-0.971397733405,6.18911174785,18.6012948159,0.00485698866703,-34.5225911944,22841.2251
