date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-28,23.35,23.77,23.63,23.3,76172.83,0.28,1.2,23.402,23.305,23.419,74833.83,69708.06,71155.99,0.4
2016-10-27,23.49,23.49,23.34,23.2,46342.49,-0.16,-0.68,23.322,23.276,23.449,73113.14,69246.6,74974.7,0.24
2016-10-26,23.45,23.74,23.51,23.33,107280.8,0.19,0.81,23.266,23.296,23.47,76782.85,73874.28,75855.56,0.56
2016-10-25,23.22,23.37,23.31,23.11,64513.98,0.11,0.47,23.228,23.332,23.472,64106.44,67343.08,73146.31,0.34
2016-10-24,23.23,23.45,23.22,22.96,79859.05,-0.02,-0.09,23.24,23.406,23.488,64087.24,67886.38,74348.2,0.42
2016-10-21,23.02,23.38,23.23,23.0,67569.37,0.19,0.82,23.208,23.461,23.508,64582.3,70063.03,74573.97,0.35
2016-10-20,23.35,23.39,23.06,23.0,64691.06,-0.25,-1.07,23.23,23.487,23.506,65380.06,68804.68,73883.91,0.34
2016-10-19,23.4,23.44,23.32,23.27,43898.76,-0.05,-0.21,23.326,23.505,23.515,70965.71,68712.45,74932.81,0.23
2016-10-18,22.97,23.39,23.37,22.94,64417.97,0.36,1.56,23.436,23.508,23.523,70579.71,68574.26,81890.93,0.34
2016-10-17,23.39,23.42,23.06,22.91,82334.32,-0.28,-1.2,23.572,23.51,23.535,71685.52,69314.09,83186.14,0.43
2016-10-14,23.56,23.6,23.34,23.21,71558.21,-0.22,-0.93,23.714,23.532,23.559,75543.76,72603.92,82440.5,0.38
2016-10-13,23.89,23.94,23.54,23.47,92619.31,-0.33,-1.38,23.744,23.621,23.563,72229.3,80702.8,84213.03,0.49
2016-10-12,23.89,23.96,23.87,23.77,41968.75,-0.17,-0.71,23.684,23.644,23.56,66459.18,77836.84,85595.29,0.22
2016-10-11,23.81,24.09,24.05,23.7,69946.99,0.28,1.18,23.58,23.612,23.544,66568.81,78949.54,88756.64,0.37
2016-10-10,23.79,24.15,23.77,23.66,101625.52,0.29,1.24,23.448,23.569,23.532,66942.66,80810.03,91364.56,0.53
2016-09-30,23.36,23.64,23.49,23.32,54985.93,0.27,1.16,23.35,23.555,23.532,69664.09,79084.92,97531.21,0.29
2016-09-29,23.24,23.45,23.24,23.18,63768.72,-0.1,-0.43,23.498,23.525,23.523,89176.29,78963.15,102220.98,0.33
2016-09-28,23.44,23.54,23.35,23.23,42516.88,-0.04,-0.17,23.604,23.525,23.521,89214.49,81153.17,108471.04,0.22
2016-09-27,23.13,23.45,23.39,23.06,71816.23,0.11,0.47,23.644,23.538,23.513,91330.26,95207.6,114093.7,0.38
2016-09-26,24.18,24.18,23.28,23.26,115232.7,-0.96,-3.96,23.69,23.559,23.499,94677.4,97058.2,123306.56,0.6
2016-09-23,23.81,24.35,24.23,23.81,152546.92,0.47,1.98,23.76,23.586,23.475,88505.76,92277.07,134734.7,0.8
2016-09-22,23.68,23.84,23.77,23.58,63959.73,0.22,0.93,23.552,23.505,23.396,68750.0,87723.27,143366.09,0.34
2016-09-21,23.7,23.87,23.55,23.48,53095.74,-0.07,-0.3,23.446,23.475,23.29,73091.85,93353.73,145769.07,0.28
2016-09-20,23.56,23.98,23.62,23.48,88551.92,-0.01,-0.04,23.432,23.476,23.208,99084.93,98563.73,148741.07,0.46
2016-09-19,23.2,23.65,23.63,23.19,84374.47,0.43,1.85,23.428,23.495,23.112,99438.99,101919.09,147383.24,0.44
2016-09-14,23.02,23.42,23.19,23.02,53768.14,-0.03,-0.13,23.412,23.508,23.012,96048.38,115977.5,150420.23,0.28
2016-09-13,23.4,23.51,23.24,23.12,85668.99,-0.25,-1.06,23.458,23.52,22.948,106696.54,125478.82,153318.52,0.45
2016-09-12,23.3,23.52,23.48,22.88,183061.12,-0.11,-0.47,23.504,23.516,22.865,113615.62,135788.9,158264.8,0.96
2016-09-09,23.5,23.85,23.6,23.48,90322.22,0.04,0.17,23.52,23.488,22.777,98042.54,132979.8,158157.34,0.47
2016-09-08,23.48,23.69,23.55,23.31,67421.45,0.14,0.6,23.562,23.438,22.655,104399.19,149554.91,159529.15,0.35
2016-09-07,23.55,23.93,23.42,23.28,107008.92,-0.05,-0.21,23.604,23.363,22.522,135906.61,177192.32,160119.08,0.56
2016-09-06,23.4,23.61,23.47,23.23,120264.37,-0.09,-0.38,23.582,23.286,22.41,144261.1,199008.91,160107.8,0.63
2016-09-05,23.8,23.92,23.56,23.43,105195.74,-0.24,-1.01,23.528,23.104,22.317,157962.18,198184.4,157822.91,0.55
2016-09-02,23.74,23.84,23.81,23.48,122105.47,0.06,0.25,23.456,22.939,22.226,167917.05,198918.41,157279.6,0.64
2016-09-01,23.39,24.12,23.76,23.34,224958.55,0.43,1.84,23.314,22.729,22.094,194710.64,192847.39,155364.46,1.18
2016-08-31,23.06,23.36,23.31,22.82,148781.38,0.13,0.56,23.122,22.516,21.955,218478.04,184862.97,147272.47,0.78
