Index([u'X1', u'X2', u'X3', u'X4', u'X5', u'X6', u'X7', u'X8', u'X9', u'X10',
       ...
       u'X323', u'X324', u'X325', u'X326', u'X327', u'X328', u'X329', u'X330',
       u'X331', u'X332'],
      dtype='object', length=332)
realY
(241032, 332)
(241032,)
(168722,)
(168722, 332)
(72310, 332)
(72310,)
[0]	validation_0-logloss:0.624498
Will train until validation_0-logloss hasn't improved in 10 rounds.
[1]	validation_0-logloss:0.564389
[2]	validation_0-logloss:0.51126
[3]	validation_0-logloss:0.464093
[4]	validation_0-logloss:0.422108
[5]	validation_0-logloss:0.384192
[6]	validation_0-logloss:0.349722
[7]	validation_0-logloss:0.318323
[8]	validation_0-logloss:0.289427
[9]	validation_0-logloss:0.263145
[10]	validation_0-logloss:0.238901
[11]	validation_0-logloss:0.216043
[12]	validation_0-logloss:0.194971
[13]	validation_0-logloss:0.174604
[14]	validation_0-logloss:0.155412
[15]	validation_0-logloss:0.136791
[16]	validation_0-logloss:0.114561
[17]	validation_0-logloss:0.068195
[18]	validation_0-logloss:0.001556
[19]	validation_0-logloss:-0.07637
[20]	validation_0-logloss:-0.153953
[21]	validation_0-logloss:-0.243117
[22]	validation_0-logloss:-0.349386
[23]	validation_0-logloss:-0.446029
[24]	validation_0-logloss:-0.549632
[25]	validation_0-logloss:-0.661493
[26]	validation_0-logloss:-0.750534
[27]	validation_0-logloss:-0.831849
[28]	validation_0-logloss:-0.904688
[29]	validation_0-logloss:-0.960079
[30]	validation_0-logloss:-1.01984
[31]	validation_0-logloss:-1.06871
[32]	validation_0-logloss:-1.11075
[33]	validation_0-logloss:-1.15213
[34]	validation_0-logloss:-1.19213
[35]	validation_0-logloss:-1.21246
[36]	validation_0-logloss:-1.2422
[37]	validation_0-logloss:-1.27297
[38]	validation_0-logloss:-1.29214
[39]	validation_0-logloss:-1.3118
[40]	validation_0-logloss:-1.32756
[41]	validation_0-logloss:-1.34686
[42]	validation_0-logloss:-1.36274
[43]	validation_0-logloss:-1.38116
[44]	validation_0-logloss:-1.38995
[45]	validation_0-logloss:-1.40078
[46]	validation_0-logloss:-1.41437
[47]	validation_0-logloss:-1.41771
[48]	validation_0-logloss:-1.43066
[49]	validation_0-logloss:-1.43323
[50]	validation_0-logloss:-1.43835
[51]	validation_0-logloss:-1.44014
[52]	validation_0-logloss:-1.44419
[53]	validation_0-logloss:-1.45296
[54]	validation_0-logloss:-1.45509
[55]	validation_0-logloss:-1.45856
[56]	validation_0-logloss:-1.45632
[57]	validation_0-logloss:-1.46104
[58]	validation_0-logloss:-1.46518
[59]	validation_0-logloss:-1.46462
[60]	validation_0-logloss:-1.46251
[61]	validation_0-logloss:-1.46379
[62]	validation_0-logloss:-1.46595
[63]	validation_0-logloss:-1.46644
[64]	validation_0-logloss:-1.47308
[65]	validation_0-logloss:-1.47262
[66]	validation_0-logloss:-1.47126
[67]	validation_0-logloss:-1.47709
[68]	validation_0-logloss:-1.47761
[69]	validation_0-logloss:-1.47529
[70]	validation_0-logloss:-1.47895
[71]	validation_0-logloss:-1.47596
[72]	validation_0-logloss:-1.47676
[73]	validation_0-logloss:-1.47739
[74]	validation_0-logloss:-1.47798
[75]	validation_0-logloss:-1.47594
[76]	validation_0-logloss:-1.48043
[77]	validation_0-logloss:-1.4817
[78]	validation_0-logloss:-1.48653
[79]	validation_0-logloss:-1.48379
[80]	validation_0-logloss:-1.48772
[81]	validation_0-logloss:-1.4875
[82]	validation_0-logloss:-1.48748
[83]	validation_0-logloss:-1.48978
[84]	validation_0-logloss:-1.49067
[85]	validation_0-logloss:-1.49093
[86]	validation_0-logloss:-1.48495
[87]	validation_0-logloss:-1.48394
[88]	validation_0-logloss:-1.49008
[89]	validation_0-logloss:-1.49279
[90]	validation_0-logloss:-1.48669
[91]	validation_0-logloss:-1.4935
[92]	validation_0-logloss:-1.49489
[93]	validation_0-logloss:-1.49841
[94]	validation_0-logloss:-1.50402
[95]	validation_0-logloss:-1.50143
[96]	validation_0-logloss:-1.50242
[97]	validation_0-logloss:-1.49708
[98]	validation_0-logloss:-1.49718
[99]	validation_0-logloss:-1.49659
[100]	validation_0-logloss:-1.49711
[101]	validation_0-logloss:-1.50094
[102]	validation_0-logloss:-1.50283
[103]	validation_0-logloss:-1.50559
[104]	validation_0-logloss:-1.50826
[105]	validation_0-logloss:-1.50417
[106]	validation_0-logloss:-1.50648
[107]	validation_0-logloss:-1.50663
[108]	validation_0-logloss:-1.50589
[109]	validation_0-logloss:-1.50936
[110]	validation_0-logloss:-1.50742
[111]	validation_0-logloss:-1.51168
[112]	validation_0-logloss:-1.50931
[113]	validation_0-logloss:-1.51183
[114]	validation_0-logloss:-1.50655
[115]	validation_0-logloss:-1.50825
[116]	validation_0-logloss:-1.50988
[117]	validation_0-logloss:-1.50948
[118]	validation_0-logloss:-1.50404
[119]	validation_0-logloss:-1.51005
[120]	validation_0-logloss:-1.51208
[121]	validation_0-logloss:-1.51479
[122]	validation_0-logloss:-1.51597
[123]	validation_0-logloss:-1.51254
[124]	validation_0-logloss:-1.51598
[125]	validation_0-logloss:-1.51694
[126]	validation_0-logloss:-1.51631
[127]	validation_0-logloss:-1.5132
[128]	validation_0-logloss:-1.51168
[129]	validation_0-logloss:-1.51027
[130]	validation_0-logloss:-1.51321
[131]	validation_0-logloss:-1.5192
[132]	validation_0-logloss:-1.51715
[133]	validation_0-logloss:-1.52094
[134]	validation_0-logloss:-1.52581
[135]	validation_0-logloss:-1.52446
[136]	validation_0-logloss:-1.52806
[137]	validation_0-logloss:-1.52938
[138]	validation_0-logloss:-1.53268
[139]	validation_0-logloss:-1.52836
[140]	validation_0-logloss:-1.52958
[141]	validation_0-logloss:-1.53233
[142]	validation_0-logloss:-1.53172
[143]	validation_0-logloss:-1.53632
[144]	validation_0-logloss:-1.53157
[145]	validation_0-logloss:-1.53217
[146]	validation_0-logloss:-1.53237
[147]	validation_0-logloss:-1.52978
[148]	validation_0-logloss:-1.52671
[149]	validation_0-logloss:-1.52663
[150]	validation_0-logloss:-1.53105
[151]	validation_0-logloss:-1.53106
[152]	validation_0-logloss:-1.52496
[153]	validation_0-logloss:-1.52755
Stopping. Best iteration:
[143]	validation_0-logloss:-1.53632

Accuracy: 6.38
Accuracy: 6.48 (for OLS)
